logo,hospital,url,location,typ1,ttyp2,class,employees,founding_date
https://img1.dxycdn.com/2020/1211/682/8227286874884542543-126.png,长沙市中心医院,https://y.dxy.cn/hospital/144,湖南·长沙市,公立医院,综合医院,三级甲等,1000 人以上,2000 年
https://img1.dxycdn.com/2021/0312/179/4858616369224929643-126.png,长沙市中医医院,https://y.dxy.cn/hospital/1271,湖南·长沙市,公立医院,综合医院,三级甲等,1000 人以上,2006 年
https://img1.dxycdn.com/2020/0604/562/3417196540476025026-126.png,长沙泰和医院,https://y.dxy.cn/hospital/3013,湖南·长沙市,民营医院,综合医院,三级医院,500-999 人,2012 年
https://img1.dxycdn.com/2021/0223/190/3135525462668216643-126.png,长沙县第一人民医院,https://y.dxy.cn/hospital/6579,湖南·长沙市,公立医院,综合医院,二级甲等,100-499 人,1958 年
https://img1.dxycdn.com/2020/0522/066/3414796985197802990-126.png,长沙雨花美奥湘府口腔门诊部,https://y.dxy.cn/hospital/12377,湖南·长沙市,民营医院,专科医院,未定级,20-99 人,2016 年
https://img1.dxycdn.com/2021/0222/376/3574456247944595643-126.png,长沙长好医院,https://y.dxy.cn/hospital/9432,湖南·长沙市,民营医院,综合医院,二级医院,100-499 人,2014 年
https://img1.dxycdn.com/2020/0224/548/3398442647382564375-126.jpg,常熟市中医院,https://y.dxy.cn/hospital/2478,江苏·苏州市,公立医院,专科医院,三级乙等,1000 人以上,1958 年
https://img1.dxycdn.com/2021/0203/027/5494147971646342643-126.png,长兴第二医院,https://y.dxy.cn/hospital/12562,浙江·湖州市,民营医院,综合医院,未定级,100-499 人,2014 年
https://img1.dxycdn.com/2020/0227/677/3398967636267712471-126.png,长兴县人民医院,https://y.dxy.cn/hospital/225,浙江·湖州市,公立医院,综合医院,三级乙等,1000 人以上,1940 年
https://img1.dxycdn.com/2020/0817/178/0458711093264290343-126.png,长兴县中医院,https://y.dxy.cn/hospital/2184,浙江·湖州市,公立医院,专科医院,三级乙等,500-999 人,1956 年
https://img1.dxycdn.com/2021/0305/585/1443937878090408643-126.png,长治市第三人民医院,https://y.dxy.cn/hospital/11592,山西·长治市,公立医院,综合医院,二级甲等,100-499 人,1956 年
https://img1.dxycdn.com/2020/0226/434/3398792803181469461-126.jpg,长治市中医研究所附属医院,https://y.dxy.cn/hospital/1306,山西·长治市,公立医院,其他,三级甲等,500-999 人,1952 年
https://img1.dxycdn.com/2021/0308/876/5303527215649458643-126.png,长治市中医医院,https://y.dxy.cn/hospital/874,山西·长治市,公立医院,综合医院,三级甲等,500-999 人,1953 年
https://img1.dxycdn.com/2020/0228/821/3399194932379574438-7.jpg,长治医学院附属和平医院,https://y.dxy.cn/hospital/1180,山西·长治市,公立医院,综合医院,三级甲等,1000 人以上,1946 年
https://img1.dxycdn.com/2020/0414/913/3407794279392166161-126.png,长治云峰医院,https://y.dxy.cn/hospital/6179,山西·长治市,民营医院,专科医院,未定级,100-499 人,1998 年
https://img1.dxycdn.com/2021/1109/624/5399639481249814153-126.png,常州九洲金东方医院,https://y.dxy.cn/hospital/12667,江苏·常州市,民营医院,综合医院,二级甲等,100-499 人,2015 年
https://img1.dxycdn.com/2020/0525/858/3415319152289293456-126.png,常州美斯奥口腔门诊部,https://y.dxy.cn/hospital/12373,江苏·常州市,民营医院,其他,未定级,20-99 人,2018 年
